duration,avg_vote,votes,revenue_with_CPI,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published
71.0,7.2,803.0,45919898.0,20990137.9,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Drama",Japanese,Other,3
83.0,7.6,168735.0,3916863219.7,31749966.4,0,0,0,0,0,0,0,0,0,0,0,0,"Animation, Family, Fantasy",English,Disney,7
85.0,6.4,144.0,3916863219.7,31525937.4,0,1,0,0,0,0,0,0,0,1,2,0,"Adventure, History, Romance",English,RKO,4
92.0,7.7,7145.0,187132.1,20164088.1,2,1,0,0,0,0,0,0,0,8,0,2,"Comedy, Drama",English,RKO,10
91.0,6.8,969.0,37320507.5,20164088.1,0,0,0,0,0,0,0,0,0,9,1,0,"Comedy, Romance",English,Other,10
102.0,7.9,44692.0,36752572.4,43238320.5,3,2,0,0,0,0,0,0,0,2,4,1,"Action, Adventure, Romance",English,Warner,1
91.0,7.1,1610.0,86065877.0,43951752.8,2,0,0,0,0,0,0,0,0,4,0,0,"Adventure, Drama, Family",English,Other,2
96.0,6.7,2267.0,86476641.0,43238320.5,0,1,0,0,0,0,0,0,0,8,0,0,"Drama, Mystery, Romance",English,Other,8
75.0,6.8,349.0,20577138.4,14956848.5,0,0,0,0,0,0,0,0,0,4,0,0,"Comedy, Drama, Romance",English,Twentieth Century Fox,7
102.0,7.9,51908.0,241702.2,23197359.0,0,1,0,0,0,0,0,0,0,5,0,0,"Comedy, Family, Romance",English,RKO,2
56.0,7.1,103.0,37422766.4,27088807.8,0,0,0,0,0,0,0,0,0,0,0,0,"Romance, Western",English,Other,2
75.0,6.6,409.0,21684017.7,17187232.4,0,0,0,0,0,0,0,0,0,5,0,0,"Romance, Comedy, Mystery",English,MGM,7
73.0,6.2,176.0,48578253.1,4583262.0,0,0,0,0,0,0,0,0,0,3,0,0,"Comedy, Romance",English,MGM,1
88.0,6.8,117.0,20849604.6,15970787.1,0,0,0,0,0,0,0,0,0,0,0,0,Drama,Japanese,Other,9
104.0,6.8,580.0,26072707.3,15198269.7,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy, Musical",Russian,Other,4
