duration,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published,revenue_cluster
60.0,23298841.3,0,0,0,0,0,0,0,0,0,1,1,0,"Drama, Romance, Sport",English,RKO,10,2
109.0,20990137.9,0,0,0,0,0,0,0,0,0,12,1,0,"Comedy, Musical, Romance",English,RKO,5,1
71.0,20990137.9,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Drama",Japanese,Other,3,0
83.0,31749966.4,0,0,0,0,0,0,0,0,0,0,0,0,"Animation, Family, Fantasy",English,Disney,7,2
85.0,31525937.4,0,1,0,0,0,0,0,0,0,1,2,0,"Adventure, History, Romance",English,RKO,4,2
92.0,20164088.1,2,1,0,0,0,0,0,0,0,8,0,2,"Comedy, Drama",English,RKO,10,1
91.0,20164088.1,0,0,0,0,0,0,0,0,0,9,1,0,"Comedy, Romance",English,Other,10,0
102.0,43238320.5,3,2,0,0,0,0,0,0,0,2,4,1,"Action, Adventure, Romance",English,Warner,1,0
91.0,43951752.8,2,0,0,0,0,0,0,0,0,4,0,0,"Adventure, Drama, Family",English,Other,2,2
96.0,43238320.5,0,1,0,0,0,0,0,0,0,8,0,0,"Drama, Mystery, Romance",English,Other,8,2
75.0,14956848.5,0,0,0,0,0,0,0,0,0,4,0,0,"Comedy, Drama, Romance",English,Twentieth Century Fox,7,0
102.0,23197359.0,0,1,0,0,0,0,0,0,0,5,0,0,"Comedy, Family, Romance",English,RKO,2,1
56.0,27088807.8,0,0,0,0,0,0,0,0,0,0,0,0,"Romance, Western",English,Other,2,0
75.0,17187232.4,0,0,0,0,0,0,0,0,0,5,0,0,"Romance, Comedy, Mystery",English,MGM,7,0
73.0,4583262.0,0,0,0,0,0,0,0,0,0,3,0,0,"Comedy, Romance",English,MGM,1,0
88.0,15970787.1,0,0,0,0,0,0,0,0,0,0,0,0,Drama,Japanese,Other,9,0
104.0,15198269.7,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy, Musical",Russian,Other,4,0
83.0,29704726.2,0,2,0,0,0,0,0,0,0,5,1,3,"Drama, History, Mystery",English,MGM,5,2
94.0,35557811.2,0,2,0,0,0,0,0,0,0,5,1,0,"Crime, Film-Noir, Romance",English,Paramount,6,2
61.0,24247876.6,0,0,0,0,0,0,0,0,0,1,0,0,"Music, War, Western",English,Paramount,9,0
85.0,11149204.3,0,1,0,0,0,0,0,0,0,0,1,0,"Crime, Drama",English,Other,12,0
104.0,43808268.4,2,2,0,0,0,0,0,0,0,7,1,1,"Drama, History, Romance",English,Twentieth Century Fox,11,1
83.0,13295809.5,2,0,0,0,0,0,0,0,0,10,1,1,"Comedy, Romance",English,RKO,9,1
238.0,87112741.8,2,3,0,0,0,0,0,0,0,2,3,5,"Drama, History, Romance",English,Other,9,2
75.0,87616536.8,0,0,0,0,0,0,0,0,0,8,0,0,Comedy,English,Sony,6,2
105.0,41946417.0,0,0,0,0,0,0,0,0,0,0,0,0,Drama,Other,Other,12,2
98.0,39145984.5,2,3,0,0,0,0,0,0,0,4,5,2,"Drama, Romance",English,MGM,2,2
106.0,35046614.7,1,0,0,0,0,0,0,0,0,2,1,1,"Biography, Crime, Drama",English,Twentieth Century Fox,6,3
93.0,35046614.7,0,0,0,0,0,0,0,0,0,0,0,0,"Crime, Drama, Romance",French,Other,8,1
129.0,41617855.0,5,2,0,0,0,0,0,0,0,6,2,0,"Comedy, Drama",English,Sony,5,1
71.0,32856201.3,0,0,0,0,0,0,0,0,0,5,2,0,Mystery,English,MGM,8,2
108.0,29899143.2,0,0,0,0,0,0,0,0,0,6,0,0,"Biography, Drama, War",English,Other,9,0
97.0,11639287.4,0,1,0,0,0,0,0,0,0,2,2,1,"Drama, History, Romance",English,MGM,1,0
78.0,26197344.5,0,0,0,0,0,0,0,0,0,4,0,0,Drama,English,MGM,6,0
102.0,60827780.7,2,0,0,0,0,0,0,0,0,1,1,0,"Adventure, Family, Fantasy",English,MGM,4,2
63.0,60827780.7,0,0,0,0,0,0,0,0,0,4,0,0,Drama,English,Warner,4,2
